ESPACIO,Latitud,Longitud,OBJECTID,cod_georef,edif,escuela_departamento,nombre_lab,piso,sede
1004,-76.533536309,3.375408662,180,320,320,,Laboratorio de Docencia Primer Piso (Biologia),1,
1010,-76.533418274,3.375425852,181,320,320,,Laboratorio de Docencia Primer piso (Quimica),1,
1012,-76.533403705,3.375312815,182,320,320,,Laboratorio de Docencia en Fisica Primer Piso,1,
1013,-76.533274274,3.375192875,183,320,320,,Laboratorio de Docencia en Fisica Primer Piso,1,
1014,-76.53340383,3.375208926,184,320,320,,Laboratorio de Docencia en Fisica Primer Piso,1,
1014,-76.533287961,3.375273917,185,320,320,,Laboratorio de Docencia en Fisica Primer Piso,1,
1014,-76.533289722,3.375321904,186,320,320,,Laboratorio de Docencia en Fisica Primer Piso,1,
1026,-76.533661539,3.375215012,187,320,320,,Centro de Excelencia en Nuevos Materiales CENM,1,
1070,-76.533592213,3.376648731,188,320,320,,Laboratorio de difraccion de rayos x,1,
2021,-76.532889167,3.37558978,189,331,331,,Laboratorios de Docencia de Pregrado - Salas de Cómputo No. 1,2,
2021,-76.5328556,3.37549264,190,331,331,,Laboratorios de Docencia de Pregrado - Salas de Cómputo No. 2.,2,
2021,-76.532758386,3.375492634,191,331,331,,Laboratorios de Docencia de Pregrado - Salas de Cómputo No. 3.,2,
2021,-76.532596098,3.375500947,192,331,331,,Laboratorios de Docencia de Pregrado - Salas de Cómputo No. 4.,2,
2021,-76.532660406,3.375755147,193,331,331,,Laboratorios de Docencia de Pregrado - Salas de Cómputo No. 5.,2,
2066,-76.532462034,3.375157986,194,331,331,,Laboratorio de Redes y Sistemas Distribuidos,2,
2066,-76.532454985,3.375199254,195,331,331,,Laboratorio de Descubrimiento de Conocimientos en Bases de Datos,2,
2066,-76.532463291,3.375236986,196,331,331,,Laboratorio Multimedia y Visión,2,
2066,-76.532463246,3.375274075,197,331,331,,Laboratorio Centro de Desarrollo de Software - CEDESOFT,2,
2066,-76.532449947,3.375313338,198,331,331,,Laboratorio Computación Evolutiva y Vida Artificial - EVALAB,2,
2066,-76.532448314,3.375345067,199,331,331,,Laboratorio de Bioinformática,2,
2066,-76.532447611,3.375377516,200,331,331,,Laboratorio Lenguajes de Programación,2,
1008,-76.533484625,3.375535829,201,320,320,,Laboratorio de Química de Fracciones Pesadas LQFP,1,
4025,-76.533340034,3.375168115,202,320,320,,Laboratorio de Polímeros,4,
1009,-76.533418584,3.375530735,203,320,320,,Laboratorio de Investigación de Compuestos Heterocíclicos,1,
3013,-76.533434438,3.375424031,204,320,320,,Laboratorio de Películas Delgadas y  Nanoestructuras,3,
3193,-76.53388094,3.376747849,205,320,320,,Laboratorio de cómputo Jurgen Tischer,3,
3028,-76.533721866,3.375198834,206,320,320,,Laboratorio de Ecología y Comportamiento de Insectos,3,
0,-77.010633,3.881956,207,1,1,,Laboratorio de biologia,1,SEDE BUENAVENTURA
0,-77.010547,3.881956,208,2,1,,Laboratorio de fisica,1,SEDE BUENAVENTURA
0,-77.010287,3.881956,209,3,1,,Laboratorio de ciencias,1,SEDE BUENAVENTURA
0,-77.01029,3.882172,210,4,1,,Laboratorio de eletronica,1,SEDE BUENAVENTURA
0,-76.301642,3.89792,211,5,0,,laboratorio electronica,1,SEDE BUGA
0,-75.827607,4.329204,212,6,1,,"Laboratorio de fisica, quimica y biologia",2,SEDE CAICEDONIA
103,-76.299246,3.56467,213,7,1,,Laboratorio quimica,1,SEDE PALMIRA
111,-76.298837,3.564898,214,8,1,,Laboratorio de alimentos,1,SEDE PALMIRA
116,-76.299245,3.564973,215,9,1,,Laboratorio biologia y microbiologia,1,SEDE PALMIRA
203,-76.29925,3.564673,216,10,1,,Laboratorio de electronica,2,SEDE PALMIRA
216,-76.299251,3.564972,217,11,1,,Laboratorio de fisica,2,SEDE PALMIRA
1000,-76.190364,4.070627,218,12,1,,Laboratori de alimentos,1,SEDE TULUA
0,-76.190364,4.070565,219,13,1,,Laboratorio de electronica,1,SEDE TULUA
105,-76.49342,3.584722,220,14,1,,Laboratorio de electronica,1,SEDE YUMBO
305,-76.067495,4.396609,221,15,1,,Laboratorio de alimentos,3,SEDE ZARZAL
310,-76.067536,4.396564,222,16,1,,Laboratorio de electronica,3,SEDE ZARZAL
1,-75.906954,4.731143,223,17,0,,Electrónica,1,SEDE CARTAGO
1,-75.906834,4.731674,224,18,0,,Laboratorio de Agroalimentos y Ambiental,1,SEDE CARTAGO
